ts,symbol,open,high,low,close,volume,provider
2025-01-01T00:00:00Z,USDJPY,100.1115,100.1190,100.0290,100.0008,762,paid_feed_stub
2025-01-01T00:05:00Z,USDJPY,100.2529,100.5206,100.2268,100.2217,126,paid_feed_stub
2025-01-01T00:10:00Z,USDJPY,100.0278,100.1794,100.0199,99.9073,684,paid_feed_stub
2025-01-01T00:15:00Z,USDJPY,100.0638,100.1299,99.8870,100.1875,105,paid_feed_stub
2025-01-01T00:20:00Z,USDJPY,100.3084,100.5179,100.2063,100.1706,961,paid_feed_stub
2025-01-01T00:25:00Z,USDJPY,100.1777,100.2055,100.1487,100.3167,643,paid_feed_stub
2025-01-01T00:30:00Z,USDJPY,100.4234,100.6423,100.2625,100.6126,440,paid_feed_stub
2025-01-01T00:35:00Z,USDJPY,100.4650,100.7139,100.2795,100.6097,619,paid_feed_stub
2025-01-01T00:40:00Z,USDJPY,100.6287,100.6424,100.5603,100.5444,171,paid_feed_stub
2025-01-01T00:45:00Z,USDJPY,100.4149,100.4452,100.3315,100.4692,428,paid_feed_stub
2025-01-01T00:50:00Z,USDJPY,100.3111,100.3739,100.2310,100.4857,683,paid_feed_stub
2025-01-01T00:55:00Z,USDJPY,100.3984,100.4497,100.1796,100.2637,441,paid_feed_stub
2025-01-01T01:00:00Z,USDJPY,100.7900,100.9820,100.6229,100.8638,858,paid_feed_stub
2025-01-01T01:05:00Z,USDJPY,101.0108,101.0795,101.0012,100.9370,340,paid_feed_stub
2025-01-01T01:10:00Z,USDJPY,100.7796,101.0624,100.5167,100.7054,689,paid_feed_stub
2025-01-01T01:15:00Z,USDJPY,100.6961,100.9704,100.5584,100.6020,321,paid_feed_stub
2025-01-01T01:20:00Z,USDJPY,100.7452,100.8240,100.5698,100.9043,459,paid_feed_stub
2025-01-01T01:25:00Z,USDJPY,100.5206,100.8199,100.3678,100.3570,142,paid_feed_stub
2025-01-01T01:30:00Z,USDJPY,100.2084,100.3966,99.9707,100.1772,157,paid_feed_stub
2025-01-01T01:35:00Z,USDJPY,100.1136,100.4125,99.9549,100.3021,874,paid_feed_stub
2025-01-01T01:40:00Z,USDJPY,99.7228,99.9390,99.5183,99.7376,340,paid_feed_stub
2025-01-01T01:45:00Z,USDJPY,99.8356,99.8691,99.7052,99.8171,958,paid_feed_stub
2025-01-01T01:50:00Z,USDJPY,100.1363,100.2153,99.9861,100.0077,921,paid_feed_stub
2025-01-01T01:55:00Z,USDJPY,100.4327,100.5222,100.2410,100.4763,237,paid_feed_stub
2025-01-01T02:00:00Z,USDJPY,100.6427,100.8045,100.4091,100.6548,100,paid_feed_stub
2025-01-01T02:05:00Z,USDJPY,100.5020,100.5079,100.2233,100.6535,848,paid_feed_stub
2025-01-01T02:10:00Z,USDJPY,100.3480,100.3654,100.0846,100.5268,177,paid_feed_stub
2025-01-01T02:15:00Z,USDJPY,100.3368,100.3576,100.1087,100.4432,215,paid_feed_stub
2025-01-01T02:20:00Z,USDJPY,100.3171,100.4820,100.2375,100.4660,480,paid_feed_stub
2025-01-01T02:25:00Z,USDJPY,100.0865,100.2483,99.8675,99.9670,380,paid_feed_stub
2025-01-01T02:30:00Z,USDJPY,100.4826,100.6776,100.3512,100.4896,208,paid_feed_stub
2025-01-01T02:35:00Z,USDJPY,100.2624,100.3638,100.0859,100.1544,298,paid_feed_stub
2025-01-01T02:40:00Z,USDJPY,99.9192,100.1085,99.8505,100.0813,873,paid_feed_stub
2025-01-01T02:45:00Z,USDJPY,99.5759,99.6473,99.3752,99.4616,219,paid_feed_stub
2025-01-01T02:50:00Z,USDJPY,99.9243,100.0956,99.7825,100.0381,826,paid_feed_stub
2025-01-01T02:55:00Z,USDJPY,99.6766,99.7057,99.5473,99.6460,520,paid_feed_stub
2025-01-01T03:00:00Z,USDJPY,99.8599,100.0619,99.5646,99.6992,462,paid_feed_stub
2025-01-01T03:05:00Z,USDJPY,99.7313,99.9898,99.6567,99.6074,503,paid_feed_stub
2025-01-01T03:10:00Z,USDJPY,99.6688,99.7524,99.5939,99.8381,498,paid_feed_stub
2025-01-01T03:15:00Z,USDJPY,99.9579,100.1230,99.9427,100.1576,852,paid_feed_stub
2025-01-01T03:20:00Z,USDJPY,100.3331,100.6110,100.0785,100.1996,537,paid_feed_stub
2025-01-01T03:25:00Z,USDJPY,100.1041,100.2244,100.0865,100.0557,986,paid_feed_stub
2025-01-01T03:30:00Z,USDJPY,99.9162,100.1515,99.7797,99.8854,961,paid_feed_stub
2025-01-01T03:35:00Z,USDJPY,100.3126,100.4793,100.0971,100.1745,367,paid_feed_stub
2025-01-01T03:40:00Z,USDJPY,100.6875,100.8613,100.5249,100.7867,151,paid_feed_stub
2025-01-01T03:45:00Z,USDJPY,100.7549,100.9057,100.4991,100.6179,964,paid_feed_stub
2025-01-01T03:50:00Z,USDJPY,100.4190,100.4747,100.2405,100.4891,311,paid_feed_stub
